uuid,Country,Item Type,Sales Channel,Order Priority,Order Date,Region,Ship Date
383715808,Syria,Office Supplies,Offline,C,4/9/17,Middle East and North Africa,5/22/17
888503682,Canada,Fruits,Online,M,4/12/10,North America,4/26/10
313074576,Andorra,Vegetables,Offline,L,1/15/12,Europe,2/11/12
946539819,Zimbabwe,Personal Care,Online,C,5/21/17,Sub-Saharan Africa,6/13/17
648323237,Yemen,Baby Food,Online,M,11/15/10,Middle East and North Africa,12/20/10
498161160,South Korea,Fruits,Offline,C,12/23/15,Asia,12/29/15
746102416,Italy,Cereal,Online,H,8/1/15,Europe,8/23/15
362508332,Turkey,Baby Food,Online,L,5/14/16,Middle East and North Africa,6/11/16
188052737,Kyrgyzstan,Household,Offline,L,9/18/14,Asia,9/27/14
683721959,Malaysia,Meat,Online,L,8/21/15,Asia,9/4/15
580814826,Palau,Beverages,Online,M,11/10/13,Australia and Oceania,12/9/13
930942666,Belgium,Cosmetics,Online,M,9/30/12,Europe,10/3/12
156029307,India,Personal Care,Offline,C,12/7/12,Asia,1/2/13
798311078,Tuvalu,Fruits,Online,C,2/17/16,Australia and Oceania,4/5/16
970336806,Malta,Fruits,Offline,C,9/27/13,Europe,10/3/13
204967820,Netherlands,Meat,Offline,L,5/22/13,Europe,5/29/13
805377948,Cuba,Baby Food,Online,H,5/26/12,Central America and the Caribbean,7/7/12
195053517,Oman,Personal Care,Offline,L,9/27/16,Middle East and North Africa,10/9/16
367793357,Egypt,Cereal,Online,M,7/5/14,Middle East and North Africa,7/17/14
237708795,Sri Lanka,Cereal,Online,H,1/3/10,Asia,2/20/10
589223659,Taiwan,Cosmetics,Online,M,5/26/12,Asia,6/8/12
927074277,Bahrain,Beverages,Offline,C,10/6/16,Middle East and North Africa,10/22/16
826309478,Grenada,Snacks,Offline,C,6/16/15,Central America and the Caribbean,6/18/15
382290589,Cameroon,Cereal,Online,L,1/15/17,Sub-Saharan Africa,2/16/17
660691440,North Korea,Fruits,Online,C,3/23/12,Asia,5/12/12
547498357,Qatar,Vegetables,Offline,M,6/27/15,Middle East and North Africa,7/16/15
799010169,Uzbekistan,Personal Care,Online,L,11/15/15,Asia,12/22/15
891838204,Dominican Republic,Beverages,Offline,C,1/23/11,Central America and the Caribbean,2/9/11
372906291,Lesotho,Meat,Online,L,3/1/11,Sub-Saharan Africa,3/10/11
209450757,Mozambique,Cereal,Offline,L,3/14/12,Sub-Saharan Africa,4/10/12
539020431,Iran,Personal Care,Online,M,1/18/15,Middle East and North Africa,2/10/15
219476640,Pakistan,Household,Offline,H,1/28/14,Middle East and North Africa,2/9/14
878993213,Cote d'Ivoire,Cereal,Online,M,1/30/16,Sub-Saharan Africa,3/19/16
166056478,France,Vegetables,Offline,H,10/7/13,Europe,11/25/13
299465262,Tajikistan,Cereal,Offline,H,4/10/12,Asia,4/27/12
418330895,Vanuatu,Meat,Online,L,3/25/10,Australia and Oceania,4/18/10
632077205,Armenia,Fruits,Online,H,2/12/11,Europe,3/9/11
670440518,Morocco,Office Supplies,Online,M,11/26/11,Middle East and North Africa,1/6/12
333469665,Kosovo,Fruits,Online,M,5/31/14,Europe,6/29/14
841525971,Bulgaria,Snacks,Offline,H,12/16/13,Europe,12/27/13
785283267,Seychelles ,Fruits,Online,M,9/17/10,Sub-Saharan Africa,11/5/10
175727880,Namibia,Office Supplies,Online,H,6/21/13,Sub-Saharan Africa,7/3/13
894158637,Iceland,Vegetables,Online,L,3/6/13,Europe,3/21/13
842186868,Belize,Household,Offline,C,12/23/16,Central America and the Caribbean,1/24/17
691736400,Seychelles ,Fruits,Online,L,2/25/14,Sub-Saharan Africa,3/22/14
735043561,Dominican Republic,Household,Offline,L,3/12/10,Central America and the Caribbean,4/2/10
434657180,Slovenia,Personal Care,Offline,M,6/10/15,Europe,7/14/15
673438584,Jordan,Office Supplies,Online,L,1/4/11,Middle East and North Africa,2/16/11
604561603,Cape Verde,Personal Care,Online,M,2/28/13,Sub-Saharan Africa,3/13/13
801512563,Zimbabwe,Office Supplies,Offline,L,7/1/16,Sub-Saharan Africa,7/25/16
108090293,Afghanistan,Cosmetics,Online,M,11/28/12,Middle East and North Africa,1/11/13
588406121,Belize,Cereal,Online,L,6/26/10,Central America and the Caribbean,6/28/10
776883876,Guinea,Vegetables,Online,M,8/6/14,Sub-Saharan Africa,8/26/14
628259885,Libya,Household,Online,L,7/15/16,Middle East and North Africa,8/14/16
167582976,Eritrea,Office Supplies,Online,L,6/14/12,Sub-Saharan Africa,6/14/12
840214478,Tajikistan,Cereal,Online,L,9/10/14,Asia,9/28/14
561828219,Slovakia,Clothes,Online,L,3/5/10,Europe,3/9/10
468410527,Sierra Leone,Beverages,Online,H,3/2/17,Sub-Saharan Africa,4/17/17
866260230,Burundi,Vegetables,Online,H,5/10/13,Sub-Saharan Africa,5/24/13
781988656,Syria,Meat,Offline,H,5/10/15,Middle East and North Africa,6/28/15
212519633,Turkey,Cereal,Online,M,5/2/14,Middle East and North Africa,5/26/14
575089490,Bosnia and Herzegovina,Cosmetics,Online,M,2/9/10,Europe,3/10/10
657247054,Ireland,Vegetables,Online,H,11/30/14,Europe,1/11/15
666853654,France,Household,Offline,L,10/4/11,Europe,10/4/11
882083117,San Marino,Meat,Online,M,3/21/11,Europe,4/26/11
301421773,East Timor,Clothes,Online,M,5/15/17,Australia and Oceania,6/23/17
693668448,Saudi Arabia,Personal Care,Offline,L,5/31/16,Middle East and North Africa,7/10/16
747934472,Nigeria,Clothes,Offline,L,10/7/10,Sub-Saharan Africa,11/9/10
123643672,Belize,Fruits,Offline,C,4/7/15,Central America and the Caribbean,5/26/15
800532376,Uzbekistan,Snacks,Offline,M,7/10/15,Asia,8/12/15
328649413,Trinidad and Tobago,Fruits,Offline,M,2/23/17,Central America and the Caribbean,3/13/17
378356111,Thailand,Beverages,Online,C,9/2/11,Asia,9/4/11
890326297,East Timor,Household,Offline,C,8/12/10,Australia and Oceania,8/31/10
525546300,France,Household,Offline,C,6/5/11,Europe,6/22/11
715314948,South Korea,Personal Care,Online,C,5/27/16,Asia,6/30/16
711243569,Guatemala,Meat,Online,L,10/4/13,Central America and the Caribbean,10/21/13
735255992,Palau,Clothes,Online,M,9/15/11,Australia and Oceania,9/21/11
629588544,New Zealand,Meat,Online,L,12/13/11,Australia and Oceania,12/14/11
306790053,Namibia,Clothes,Offline,L,6/21/13,Sub-Saharan Africa,8/4/13
199721848,Central African Republic,Personal Care,Online,L,4/27/16,Sub-Saharan Africa,6/1/16
811557757,Maldives,Beverages,Offline,M,4/3/10,Asia,4/20/10
465784108,Ireland,Office Supplies,Online,H,5/17/16,Europe,6/30/16
256199729,Kosovo,Cereal,Offline,H,3/20/15,Europe,3/27/15
896915948,Malawi,Meat,Online,H,1/29/11,Sub-Saharan Africa,2/12/11
472356593,Burundi,Fruits,Offline,C,2/14/13,Sub-Saharan Africa,2/23/13
287257993,Brunei,Snacks,Offline,L,6/5/16,Asia,7/25/16
816668975,Vietnam,Clothes,Offline,H,5/9/13,Asia,6/9/13
355950868,Cyprus,Vegetables,Online,H,6/17/12,Europe,6/29/12
870777499,Israel,Baby Food,Offline,H,1/11/12,Middle East and North Africa,2/22/12
347135198,Albania,Clothes,Online,H,5/24/11,Europe,6/22/11
441322791,Slovenia,Baby Food,Offline,L,9/29/14,Europe,10/22/14
629951608,Angola,Meat,Offline,L,3/10/12,Sub-Saharan Africa,4/16/12
459945476,Tonga,Office Supplies,Online,C,11/2/13,Australia and Oceania,11/23/13
898540723,Antigua and Barbuda ,Personal Care,Online,M,9/17/15,Central America and the Caribbean,10/26/15
283286178,Rwanda,Beverages,Online,C,2/10/11,Sub-Saharan Africa,3/24/11
172043168,Somalia,Baby Food,Offline,L,2/16/17,Middle East and North Africa,4/4/17
392985522,Slovenia,Clothes,Online,M,4/6/10,Europe,4/11/10
394599568,Albania,Office Supplies,Online,C,7/9/13,Europe,8/15/13
595684134,Haiti,Snacks,Online,C,11/19/16,Central America and the Caribbean,1/3/17
135350549,Norway,Fruits,Online,H,6/2/11,Europe,7/20/11
923022639,Taiwan,Cereal,Offline,M,9/29/15,Asia,10/2/15
888436734,Namibia,Personal Care,Offline,M,9/8/11,Sub-Saharan Africa,10/9/11
731641662,Jordan,Baby Food,Offline,M,3/19/16,Middle East and North Africa,4/28/16
772998750,Chad,Vegetables,Offline,H,1/26/17,Sub-Saharan Africa,3/17/17
503181827,United Arab Emirates,Snacks,Offline,H,6/3/14,Middle East and North Africa,6/25/14
833177220,Panama,Cosmetics,Online,H,1/26/17,Central America and the Caribbean,2/25/17
944283759,Vanuatu,Personal Care,Offline,L,12/16/15,Australia and Oceania,1/19/16
538112771,Luxembourg,Personal Care,Online,C,8/27/10,Europe,9/5/10
286588084,Czech Republic,Baby Food,Offline,C,2/27/13,Europe,3/18/13
481946027,Myanmar,Meat,Online,C,10/27/13,Asia,12/6/13
586735427,Moldova ,Clothes,Online,C,5/29/15,Europe,7/4/15
583817613,Papua New Guinea,Cereal,Offline,H,3/7/14,Australia and Oceania,4/11/14
526366412,Cote d'Ivoire,Baby Food,Offline,H,4/2/11,Sub-Saharan Africa,4/4/11
987868154,Guatemala,Clothes,Online,C,5/15/16,Central America and the Caribbean,6/3/16
812121665,Togo,Snacks,Online,L,11/8/13,Sub-Saharan Africa,11/10/13
263238275,Madagascar,Cereal,Online,H,10/16/11,Sub-Saharan Africa,11/18/11
575641810,Sierra Leone,Beverages,Online,M,7/22/15,Sub-Saharan Africa,8/22/15
804068601,Dominica,Cosmetics,Offline,C,6/9/16,Central America and the Caribbean,7/6/16
973567473,Mali,Beverages,Offline,M,8/2/10,Sub-Saharan Africa,9/14/10
729499757,Armenia,Beverages,Offline,C,5/8/10,Europe,5/21/10
687539279,Algeria,Cereal,Online,M,3/20/10,Middle East and North Africa,3/30/10
183672368,Montenegro,Beverages,Offline,M,4/24/13,Europe,5/13/13
424197852,Belize,Vegetables,Online,C,6/19/12,Central America and the Caribbean,7/3/12
435727059,Sao Tome and Principe,Household,Online,M,9/19/16,Sub-Saharan Africa,10/22/16
215183818,Tonga,Personal Care,Online,H,3/31/17,Australia and Oceania,3/31/17
279804456,Belize,Vegetables,Offline,C,11/9/13,Central America and the Caribbean,11/14/13
317137801,Cuba,Fruits,Offline,M,3/19/11,Central America and the Caribbean,4/13/11
535045182,Tanzania,Household,Offline,L,1/17/15,Sub-Saharan Africa,3/8/15
311700427,Guinea-Bissau,Clothes,Offline,H,3/19/13,Sub-Saharan Africa,3/26/13
445589864,Ireland,Office Supplies,Online,C,5/11/17,Europe,6/22/17
905512320,Tunisia ,Beverages,Offline,C,9/9/13,Middle East and North Africa,10/10/13
380579125,Namibia,Cereal,Offline,L,3/10/12,Sub-Saharan Africa,3/30/12
330214107,Fiji,Clothes,Online,L,7/21/12,Australia and Oceania,8/31/12
934153592,Armenia,Personal Care,Online,H,7/17/15,Europe,8/23/15
642446410,Tuvalu,Personal Care,Offline,H,8/12/11,Australia and Oceania,9/24/11
225453889,South Korea,Cereal,Offline,L,1/7/15,Asia,1/11/15
523849856,Senegal,Clothes,Online,M,7/24/14,Sub-Saharan Africa,7/30/14
198620641,Burundi,Baby Food,Offline,L,4/6/15,Sub-Saharan Africa,5/25/15
681065070,Libya,Vegetables,Offline,M,11/5/11,Middle East and North Africa,11/21/11
322794473,Solomon Islands,Beverages,Offline,M,3/30/15,Australia and Oceania,4/7/15
245732676,New Zealand,Cereal,Online,H,12/12/10,Australia and Oceania,12/26/10
292116010,Tonga,Beverages,Online,L,10/24/15,Australia and Oceania,11/28/15
374493300,Belgium,Meat,Offline,L,9/4/13,Europe,9/13/13
925725877,Brunei,Snacks,Offline,C,2/26/12,Asia,4/7/12
648987567,Saint Lucia,Beverages,Online,C,2/25/16,Central America and the Caribbean,3/16/16
567764699,El Salvador,Office Supplies,Online,C,6/26/16,Central America and the Caribbean,6/28/16
875856101,Botswana,Vegetables,Online,H,5/24/16,Sub-Saharan Africa,6/23/16
487373101,Antigua and Barbuda ,Cereal,Online,L,8/14/12,Central America and the Caribbean,8/23/12
186739528,Croatia,Office Supplies,Online,L,4/26/14,Europe,5/30/14
378691709,East Timor,Beverages,Offline,L,7/26/16,Australia and Oceania,8/6/16
638278472,Eritrea,Beverages,Online,L,9/21/11,Sub-Saharan Africa,10/29/11
160861146,Brunei,Clothes,Online,H,12/5/15,Asia,12/26/15
912113559,Ireland,Beverages,Offline,M,4/22/12,Europe,5/3/12
878022038,Iceland,Office Supplies,Online,C,5/8/15,Europe,5/25/15
814885413,Zambia,Personal Care,Offline,H,2/3/14,Sub-Saharan Africa,3/13/14
199315011,Malawi,Fruits,Online,L,10/17/13,Sub-Saharan Africa,11/22/13
378234660,Tunisia ,Personal Care,Online,M,12/26/16,Middle East and North Africa,1/6/17
518880689,France,Vegetables,Offline,L,2/14/12,Europe,3/13/12
758801925,Cuba,Meat,Offline,C,3/22/15,Central America and the Caribbean,5/1/15
855859696,Croatia,Personal Care,Offline,H,1/29/13,Europe,2/7/13
638227832,Czech Republic,Personal Care,Offline,L,6/29/12,Europe,8/10/12
454392659,Turkey,Clothes,Online,H,9/29/13,Middle East and North Africa,10/2/13
723153007,Azerbaijan,Snacks,Online,L,5/26/14,Middle East and North Africa,7/15/14
583620202,Papua New Guinea,Cosmetics,Online,L,1/29/13,Australia and Oceania,3/20/13
145218074,Brunei,Cosmetics,Online,C,4/9/13,Asia,4/18/13
937682950,Sweden,Baby Food,Online,C,12/10/11,Europe,1/29/12
961063659,Kyrgyzstan,Beverages,Online,L,12/1/10,Asia,12/29/10
535721528,Egypt,Cereal,Offline,M,1/30/13,Middle East and North Africa,2/15/13
952330386,Democratic Republic of the Congo,Meat,Online,M,1/12/11,Sub-Saharan Africa,2/5/11
421876561,Sweden,Cosmetics,Online,M,7/27/13,Europe,8/21/13
825658881,Burkina Faso,Beverages,Offline,C,8/21/11,Sub-Saharan Africa,9/20/11
965288674,Croatia,Personal Care,Offline,H,5/16/12,Europe,5/30/12
612689769,Senegal,Baby Food,Online,M,8/21/12,Sub-Saharan Africa,10/2/12
960098493,Saint Vincent and the Grenadines,Personal Care,Online,M,5/8/10,Central America and the Caribbean,6/14/10
570063674,Moldova ,Cereal,Online,L,11/6/15,Europe,11/21/15
325446641,Mauritania,Beverages,Online,H,4/1/10,Sub-Saharan Africa,4/5/10
279421222,Mozambique,Household,Offline,M,5/21/17,Sub-Saharan Africa,6/10/17
105473744,Germany,Office Supplies,Offline,H,9/18/16,Europe,10/31/16
447403037,Republic of the Congo,Personal Care,Offline,M,4/9/15,Sub-Saharan Africa,5/19/15
669320428,Maldives,Vegetables,Online,H,7/27/13,Asia,9/8/13
205649745,India,Clothes,Offline,L,12/26/16,Asia,1/14/17
811127316,India,Snacks,Offline,L,10/24/16,Asia,10/26/16
710801970,Marshall Islands,Household,Offline,L,10/6/16,Australia and Oceania,10/19/16
450035035,Switzerland,Beverages,Offline,L,1/19/14,Europe,2/25/14
644500339,South Sudan,Personal Care,Online,M,9/24/10,Sub-Saharan Africa,11/7/10
630184209,Malaysia,Cosmetics,Online,C,7/3/17,Asia,7/24/17
713385474,Ukraine,Personal Care,Online,H,1/19/12,Europe,3/2/12
820715463,Ukraine,Cereal,Offline,H,12/26/10,Europe,2/10/11
949098002,Kenya,Vegetables,Online,L,1/21/13,Sub-Saharan Africa,1/25/13
715769422,Tanzania,Household,Offline,C,7/3/10,Sub-Saharan Africa,7/12/10
708278548,Rwanda,Office Supplies,Online,C,7/24/15,Sub-Saharan Africa,8/29/15
234486711,Sweden,Snacks,Online,C,3/27/11,Europe,4/22/11
472567737,Uzbekistan,Cosmetics,Online,H,9/6/15,Asia,9/13/15
421007955,Togo,Vegetables,Offline,L,4/2/10,Sub-Saharan Africa,4/24/10
948606193,Estonia,Personal Care,Offline,M,6/10/11,Europe,6/10/11
744473779,South Sudan,Personal Care,Online,H,2/1/14,Sub-Saharan Africa,3/10/14
368034541,Germany,Vegetables,Online,C,4/27/10,Europe,5/7/10
899024808,Slovenia,Personal Care,Offline,H,1/13/16,Europe,2/1/16
787493407,Kosovo,Cereal,Offline,H,2/15/14,Europe,4/1/14
803801667,Kazakhstan,Office Supplies,Offline,L,4/7/11,Asia,5/11/11
888623416,Sao Tome and Principe,Cereal,Online,M,5/29/11,Sub-Saharan Africa,6/20/11
602944982,Mongolia,Personal Care,Offline,M,12/31/11,Asia,1/7/12
478065192,Macedonia,Vegetables,Offline,M,5/2/15,Europe,5/28/15
665595376,Luxembourg,Personal Care,Offline,M,3/14/17,Europe,4/11/17
487459361,Cambodia,Personal Care,Offline,H,8/31/10,Asia,8/31/10
685893476,Maldives,Meat,Online,L,7/30/12,Asia,9/14/12
273446547,Namibia,Meat,Offline,H,5/9/14,Sub-Saharan Africa,5/11/14
582979905,Italy,Vegetables,Online,L,1/14/16,Europe,2/7/16
317667376,Yemen,Cosmetics,Offline,L,12/14/14,Middle East and North Africa,12/16/14
500995290,Sudan,Household,Offline,C,1/24/17,Sub-Saharan Africa,3/6/17
426762473,Cambodia,Household,Online,M,6/23/10,Asia,7/25/10
809080255,Hungary,Snacks,Offline,H,8/21/14,Europe,9/22/14
632372462,Bhutan,Beverages,Offline,L,12/27/15,Asia,2/1/16
301375424,Togo,Cosmetics,Offline,H,3/6/17,Sub-Saharan Africa,3/6/17
291137969,Lithuania,Fruits,Online,M,7/26/10,Europe,8/17/10
697021424,Guinea-Bissau,Office Supplies,Online,M,4/17/12,Sub-Saharan Africa,4/25/12
784699618,Saint Kitts and Nevis ,Cereal,Offline,H,1/22/13,Central America and the Caribbean,1/31/13
340158879,Greenland,Fruits,Offline,H,3/15/12,North America,4/17/12
119698035,Kosovo,Vegetables,Offline,C,11/29/13,Europe,12/29/13
499928414,Bangladesh,Cosmetics,Offline,C,11/14/15,Asia,11/26/15
127773845,Costa Rica,Snacks,Online,M,1/12/13,Central America and the Caribbean,2/11/13
870470654,Libya,Fruits,Online,M,7/30/16,Middle East and North Africa,9/15/16
165567672,Iceland,Cosmetics,Online,H,3/25/12,Europe,4/8/12
470926225,Poland,Office Supplies,Online,H,1/29/17,Europe,3/20/17
714720141,Oman,Personal Care,Offline,H,3/14/15,Middle East and North Africa,3/19/15
345435750,Bosnia and Herzegovina,Fruits,Offline,M,6/12/14,Europe,7/31/14
681871879,Guinea-Bissau,Baby Food,Offline,C,5/20/12,Sub-Saharan Africa,6/23/12
863139855,Antigua and Barbuda ,Fruits,Online,L,3/20/15,Central America and the Caribbean,4/19/15
998663508,Papua New Guinea,Vegetables,Offline,C,4/10/11,Australia and Oceania,5/24/11
818179166,Syria,Meat,Offline,L,9/2/12,Middle East and North Africa,10/18/12
121735656,Tonga,Cereal,Offline,M,8/31/13,Australia and Oceania,10/14/13
129694306,Cameroon,Baby Food,Offline,C,2/20/17,Sub-Saharan Africa,3/2/17
332728946,Syria,Office Supplies,Offline,H,9/9/15,Middle East and North Africa,9/12/15
741825902,Monaco,Vegetables,Offline,C,7/18/10,Europe,9/4/10
538284003,Malta,Meat,Offline,L,5/12/15,Europe,5/16/15
323714578,Andorra,Snacks,Online,C,7/27/14,Europe,9/13/14
770041453,Netherlands,Cereal,Offline,H,8/4/12,Europe,9/15/12
369500958,Albania,Clothes,Online,M,12/4/14,Europe,12/15/14
384641921,Slovakia,Household,Offline,L,10/5/16,Europe,10/27/16
798325669,Democratic Republic of the Congo,Baby Food,Online,M,5/14/14,Sub-Saharan Africa,5/15/14
763726031,Solomon Islands,Office Supplies,Online,C,6/3/16,Australia and Oceania,6/19/16
854329335,Iran,Cosmetics,Online,C,7/14/17,Middle East and North Africa,8/28/17
813934409,Dominican Republic,Personal Care,Online,M,2/28/17,Central America and the Caribbean,3/5/17
906652581,Moldova ,Household,Online,L,10/28/15,Europe,11/26/15
566907680,Tunisia ,Clothes,Offline,M,4/27/11,Middle East and North Africa,6/1/11
649436032,Greenland,Clothes,Online,C,2/1/10,North America,2/6/10
279286468,Uzbekistan,Personal Care,Offline,H,11/5/15,Asia,11/17/15
901820313,Malawi,Cosmetics,Offline,M,8/27/10,Sub-Saharan Africa,10/4/10
432711398,Benin,Vegetables,Online,C,9/20/11,Sub-Saharan Africa,9/26/11
907946050,Guinea,Household,Offline,C,8/5/14,Sub-Saharan Africa,8/6/14
833823096,Vatican City,Beverages,Online,M,2/8/12,Europe,3/29/12
136953866,Tunisia ,Personal Care,Online,H,4/19/13,Middle East and North Africa,5/25/13
614262187,Panama,Fruits,Online,H,11/30/16,Central America and the Caribbean,1/6/17
982984387,Armenia,Cosmetics,Online,H,3/13/15,Europe,4/23/15
930669295,Iran,Clothes,Online,C,10/21/12,Middle East and North Africa,11/15/12
665178239,Iran,Cosmetics,Offline,M,6/21/15,Middle East and North Africa,7/22/15
464685046,The Bahamas,Clothes,Offline,M,1/18/11,Central America and the Caribbean,2/22/11
227676045,San Marino,Office Supplies,Online,L,3/10/11,Europe,4/10/11
822950065,San Marino,Vegetables,Offline,H,3/27/17,Europe,5/15/17
939618432,Tuvalu,Fruits,Online,L,6/17/16,Australia and Oceania,7/17/16
237104976,Sao Tome and Principe,Cosmetics,Offline,M,2/17/16,Sub-Saharan Africa,2/26/16
695146024,Ghana,Clothes,Offline,M,12/31/16,Sub-Saharan Africa,1/30/17
763790404,Sao Tome and Principe,Snacks,Offline,M,2/9/17,Sub-Saharan Africa,3/6/17
313399446,Philippines,Beverages,Online,C,7/24/15,Asia,9/5/15
184646975,Zambia,Personal Care,Offline,L,4/20/16,Sub-Saharan Africa,5/6/16
838519322,United States of America,Vegetables,Offline,L,10/12/16,North America,11/26/16
106315314,Cape Verde,Meat,Online,L,9/21/11,Sub-Saharan Africa,10/5/11
839646279,Zambia,Office Supplies,Online,L,1/21/12,Sub-Saharan Africa,2/15/12
560436046,Vietnam,Vegetables,Online,L,11/8/10,Asia,11/23/10
910920941,Saudi Arabia,Vegetables,Offline,M,5/23/17,Middle East and North Africa,6/27/17
903649795,Macedonia,Personal Care,Online,C,7/4/15,Europe,7/28/15
971483933,Mozambique,Baby Food,Online,M,10/25/12,Sub-Saharan Africa,11/30/12
717597186,New Zealand,Personal Care,Online,C,3/23/14,Australia and Oceania,4/4/14
265475881,Qatar,Baby Food,Offline,M,7/20/10,Middle East and North Africa,7/26/10
708918845,Moldova ,Fruits,Online,H,8/8/12,Europe,8/19/12
962037408,Tunisia ,Snacks,Offline,H,2/15/17,Middle East and North Africa,3/20/17
909255397,Ghana,Meat,Online,C,7/22/10,Sub-Saharan Africa,8/7/10
955309140,Kiribati,Personal Care,Online,C,9/9/10,Australia and Oceania,9/27/10
675247466,Turkmenistan,Clothes,Offline,M,6/16/17,Asia,7/20/17
164431703,Dominican Republic,Cosmetics,Offline,C,9/15/16,Central America and the Caribbean,10/9/16
488535678,Palau,Vegetables,Offline,H,4/14/14,Australia and Oceania,5/19/14
533545720,Guinea,Vegetables,Offline,L,2/7/17,Sub-Saharan Africa,3/6/17
155760657,Fiji,Vegetables,Offline,C,3/16/14,Australia and Oceania,3/16/14
631791818,United Arab Emirates,Vegetables,Online,L,11/5/10,Middle East and North Africa,11/21/10
608563029,Palau,Office Supplies,Offline,L,2/16/17,Australia and Oceania,3/14/17
153310620,Thailand,Vegetables,Offline,H,12/7/13,Asia,1/19/14
303583419,Saudi Arabia,Cereal,Offline,L,4/14/17,Middle East and North Africa,5/2/17
817242753,Angola,Vegetables,Offline,M,12/23/13,Sub-Saharan Africa,1/10/14
622462451,Egypt,Clothes,Online,H,10/21/10,Middle East and North Africa,12/8/10
967728841,Macedonia,Beverages,Offline,H,8/15/15,Europe,9/5/15
471840751,Norway,Office Supplies,Offline,M,11/4/10,Europe,12/19/10
973909509,Kuwait,Meat,Online,H,4/2/10,Middle East and North Africa,5/10/10
783358943,Tuvalu,Clothes,Online,C,4/26/17,Australia and Oceania,5/2/17
529925382,North Korea,Fruits,Online,L,11/15/13,Asia,12/5/13
913657653,Solomon Islands,Office Supplies,Offline,M,11/19/16,Australia and Oceania,12/28/16
454917085,Andorra,Cereal,Offline,C,2/5/14,Europe,3/9/14
444377505,Niger,Personal Care,Online,C,3/30/13,Sub-Saharan Africa,4/10/13
893025243,Moldova ,Personal Care,Offline,C,7/25/15,Europe,9/13/15
982159125,Saudi Arabia,Vegetables,Online,M,12/27/11,Middle East and North Africa,1/3/12
413390481,Bosnia and Herzegovina,Fruits,Offline,C,3/27/17,Europe,4/5/17
758643138,Philippines,Office Supplies,Offline,H,1/7/13,Asia,1/27/13
510153424,New Zealand,Cosmetics,Online,L,5/26/12,Australia and Oceania,6/9/12
930470168,Haiti,Vegetables,Offline,C,7/30/10,Central America and the Caribbean,8/7/10
202454698,Cameroon,Fruits,Online,C,5/20/11,Sub-Saharan Africa,6/17/11
179280841,Lebanon,Office Supplies,Online,L,12/7/15,Middle East and North Africa,1/16/16
534434926,North Korea,Cosmetics,Online,C,4/3/11,Asia,4/28/11
111715781,Canada,Clothes,Online,L,12/14/11,North America,2/2/12
975234735,Nigeria,Fruits,Offline,H,12/23/10,Sub-Saharan Africa,2/6/11
759415614,Greenland,Baby Food,Online,M,9/12/13,North America,10/12/13
318994748,Singapore,Clothes,Offline,H,5/30/11,Asia,7/7/11
579020965,Kosovo,Clothes,Online,C,5/26/15,Europe,7/4/15
284855592,Algeria,Personal Care,Offline,L,4/21/15,Middle East and North Africa,5/8/15
952172458,United Kingdom,Cosmetics,Offline,M,3/7/13,Europe,4/22/13
116957890,Canada,Fruits,Offline,C,2/27/12,North America,3/8/12
785510718,Grenada,Meat,Offline,H,8/20/12,Central America and the Caribbean,9/23/12
184442269,Japan,Vegetables,Online,M,1/31/16,Asia,2/4/16
110676372,Antigua and Barbuda ,Vegetables,Online,H,9/3/13,Central America and the Caribbean,10/21/13
181449353,Equatorial Guinea,Snacks,Online,L,10/16/12,Sub-Saharan Africa,10/17/12
984310042,Barbados,Fruits,Offline,H,7/11/10,Central America and the Caribbean,8/23/10
927119767,Zambia,Clothes,Online,M,8/9/12,Sub-Saharan Africa,8/22/12
288052356,Kazakhstan,Personal Care,Online,C,6/18/14,Asia,7/30/14
765594136,Tajikistan,Household,Online,C,8/6/12,Asia,8/24/12
528543937,Burundi,Fruits,Offline,M,12/6/15,Sub-Saharan Africa,12/30/15
966013085,Egypt,Cereal,Offline,L,9/25/11,Middle East and North Africa,9/27/11
837425410,Liechtenstein,Cosmetics,Offline,M,11/3/14,Europe,12/9/14
322517240,Philippines,Cereal,Offline,H,11/13/10,Asia,12/1/10
571337401,Iceland,Clothes,Online,H,12/29/12,Europe,2/1/13
554247224,Oman,Personal Care,Online,M,10/2/12,Middle East and North Africa,10/31/12
211920535,China,Vegetables,Offline,H,2/4/14,Asia,3/15/14
905343663,Malaysia,Fruits,Offline,H,6/18/14,Asia,6/28/14
465815436,Indonesia,Beverages,Online,H,2/27/16,Asia,3/29/16
844947183,Romania,Office Supplies,Online,M,12/17/14,Europe,12/18/14
464662730,Czech Republic,Fruits,Offline,M,7/8/11,Europe,7/15/11
967198407,Norway,Vegetables,Offline,H,2/7/15,Europe,2/8/15
465103042,Maldives,Beverages,Online,C,2/16/17,Asia,3/12/17
291237962,Cyprus,Snacks,Offline,L,1/26/10,Europe,2/21/10
948776996,Comoros,Cosmetics,Offline,H,12/20/13,Sub-Saharan Africa,12/20/13
761206471,Panama,Personal Care,Offline,H,1/29/12,Central America and the Caribbean,1/29/12
822325217,Togo,Baby Food,Online,H,3/16/15,Sub-Saharan Africa,4/4/15
946244561,Jordan,Baby Food,Online,L,7/7/12,Middle East and North Africa,7/19/12
117388331,Cuba,Fruits,Offline,L,3/4/13,Central America and the Caribbean,3/29/13
540492856,Japan,Fruits,Online,C,3/31/12,Asia,4/13/12
